date,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,grade,sqft_above,sqft_basement,lat,sqft_living15
20141013,221900.0,3.0,1.0,1180,1.0,0,0,7,1180,0,47.5112,1340
20141209,538000.0,3.0,2.25,2570,2.0,0,0,7,2170,400,47.721,1690
20150225,180000.0,2.0,1.0,770,1.0,0,0,6,770,0,47.7379,2720
20141209,604000.0,4.0,3.0,1960,1.0,0,0,7,1050,910,47.5208,1360
20150218,510000.0,3.0,2.0,1680,1.0,0,0,8,1680,0,47.6168,1800
20140512,1225000.0,4.0,4.5,5420,1.0,0,0,11,3890,1530,47.6561,4760
20140627,257500.0,3.0,2.25,1715,2.0,0,0,7,1715,0,47.3097,2238
20150115,291850.0,3.0,1.5,1060,1.0,0,0,7,1060,0,47.4095,1650
20150415,229500.0,3.0,1.0,1780,1.0,0,0,7,1050,730,47.5123,1780
20150312,323000.0,3.0,2.5,1890,2.0,0,0,7,1890,0,47.3684,2390
20150403,662500.0,3.0,2.5,3560,1.0,0,0,8,1860,1700,47.6007,2210
20140527,468000.0,2.0,1.0,1160,1.0,0,0,7,860,300,47.69,1330
20140528,310000.0,3.0,1.0,1430,1.5,0,0,7,1430,0,47.7558,1780
20141007,400000.0,3.0,1.75,1370,1.0,0,0,7,1370,0,47.6127,1370
20150312,530000.0,5.0,2.0,1810,1.5,0,0,7,1810,0,47.67,1360
20150124,650000.0,4.0,3.0,2950,2.0,0,3,9,1980,970,47.5714,2140
20140731,395000.0,3.0,2.0,1890,2.0,0,0,7,1890,0,47.7277,1890
20140529,485000.0,4.0,1.0,1600,1.5,0,0,7,1600,0,47.6648,1610
20141205,189000.0,2.0,1.0,1200,1.0,0,0,7,1200,0,47.3089,1060
20150424,230000.0,3.0,1.0,1250,1.0,0,0,7,1250,0,47.3343,1280
20140514,385000.0,4.0,1.75,1620,1.0,0,0,7,860,760,47.7025,1400
20140826,2000000.0,3.0,2.75,3050,1.0,0,4,9,2330,720,47.5316,4110
20140703,285000.0,5.0,2.5,2270,2.0,0,0,8,2270,0,47.3266,2240
20140516,252700.0,2.0,1.5,1070,1.0,0,0,7,1070,0,47.3533,1220
20141120,329000.0,3.0,2.25,2450,2.0,0,0,8,2450,0,47.3739,2200
20141103,233000.0,3.0,2.0,1710,1.5,0,0,6,1710,0,47.3048,1030
20140626,937000.0,3.0,1.75,2450,2.0,0,0,8,1750,700,47.6386,1760
20141201,667000.0,3.0,1.0,1400,1.5,0,0,8,1400,0,47.6221,1860
20140624,438000.0,3.0,1.75,1520,1.0,0,0,7,790,730,47.695,1520
